OrderID,PurchaseDate,DeliveryDate,Vendor,Product,Category,Location,Quantity,UnitPrice,OrderStatus,PaymentStatus,PaymentTerms,DeliveryDays,TotalCost,IsOnTime
ORD1000,12/4/2023,12/14/2023,Alpha Supplies,Product_32,Office Supplies,Russia,75,17.74,Delivered,Paid,Net 60,10,1330.5,FALSE
ORD1001,12/6/2023,12/13/2023,Alpha Supplies,Product_28,Machinery,Australia,29,173.82,Pending,Paid,Net 30,7,5040.78,TRUE
ORD1002,12/29/2023,1/6/2024,Alpha Supplies,Product_22,Office Supplies,Russia,66,402.64,Shipped,Paid,Net 30,8,26574.24,FALSE
ORD1003,3/4/2023,3/14/2023,Beta Corp,Product_41,Electronics,Canada,16,449.16,Delivered,Unpaid,Upon Delivery,10,7186.56,FALSE
ORD1004,8/18/2022,8/24/2022,Alpha Supplies,Product_17,Office Supplies,India,39,261.52,Pending,Paid,Net 30,6,10199.28,TRUE
ORD1005,3/3/2024,3/11/2024,Beta Corp,Product_26,Machinery,Germany,77,230.47,Delivered,Paid,Net 60,8,17746.19,FALSE
ORD1006,2/5/2023,2/13/2023,Beta Corp,Product_44,Electronics,Germany,37,20.26,Delivered,Paid,Upon Delivery,8,749.62,FALSE
ORD1007,10/10/2023,10/20/2023,Delta Traders,Product_7,Furniture,Japan,81,440.21,Pending,Overdue,Upon Delivery,10,35657.01,FALSE
ORD1008,5/6/2022,5/11/2022,Delta Traders,Product_42,Furniture,India,21,11.44,Shipped,Overdue,Net 60,5,240.24,TRUE
ORD1009,2/13/2023,2/19/2023,Delta Traders,Product_26,Electronics,France,44,472.65,Pending,Paid,Net 60,6,20796.6,TRUE
ORD1010,7/18/2022,7/28/2022,Theta Tech,Product_25,Electronics,Japan,19,247.16,Canceled,Paid,Net 60,10,4696.04,FALSE
ORD1011,6/6/2022,6/12/2022,Beta Corp,Product_10,Electronics,Canada,71,174.26,Delivered,Unpaid,Net 60,6,12372.46,TRUE
ORD1012,5/13/2023,5/19/2023,Alpha Supplies,Product_45,Office Supplies,Japan,8,462.49,Delivered,Overdue,Net 60,6,3699.92,TRUE
ORD1013,3/7/2024,3/15/2024,Delta Traders,Product_19,Electronics,Germany,77,17.07,Pending,Unpaid,Net 60,8,1314.39,FALSE
ORD1014,2/18/2023,2/25/2023,Eta Logistics,Product_11,Electronics,France,66,292.81,Delivered,Paid,Upon Delivery,7,19325.46,TRUE
ORD1015,9/3/2023,9/9/2023,Eta Logistics,Product_13,Electronics,Canada,41,276.72,Delivered,Paid,Net 30,6,11345.52,TRUE
ORD1016,1/26/2024,2/4/2024,Alpha Supplies,Product_8,Machinery,Germany,75,113.56,Pending,Unpaid,Net 30,9,8517,FALSE
ORD1017,1/11/2023,1/19/2023,Theta Tech,Product_40,Furniture,India,88,217.3,Delivered,Paid,Upon Delivery,8,19122.4,FALSE
